Food,Calories,Calories from Fat,Tot. Fat,%DV,Tot. Carb,%DV,Sat. Fat,%DV,Dietary Fiber,%DV,Trans Fat,%DV,Sugars,%DV,Cholesterol,%DV,Protein,%DV,Sodium,%DV,Allergens
Pastrami Roll ,601,290,Total Fat 32.2g,85,Tot. Carb. 44.6g,,Sat. Fat 9.7g,49%,Dietary Fiber 2.6g,9,Trans Fat 0g,,Sugars 9g,7,Cholesterol 109.9mg,,Protein 29.6g,,Sodium 1804.5mg,78,"Milk, Eggs, Wheat, Soybeans, Gluten"
Green Goddess Salad ,491,389,Total Fat 43.1g,113,Tot. Carb. 25.5g,,Sat. Fat 3.4g,17%,Dietary Fiber 8.9g,30,Trans Fat 0g,,Sugars 15.7g,12,Cholesterol 0mg,,Protein 8.2g,,Sodium 175.3mg,8,Tree Nuts
HG Side Salad ,147,118,Total Fat 13.1g,34,Tot. Carb. 5.1g,,Sat. Fat 1.8g,9%,Dietary Fiber 1.3g,4,Trans Fat 0g,,Sugars 2.7g,2,Cholesterol 11.5mg,,Protein 1.2g,,Sodium 279.2mg,12,"Milk, Eggs, Soybeans"
Swee' Pea Salad ,302,122,Total Fat 13.5g,35,Tot. Carb. 28.5g,,Sat. Fat 1.4g,7%,Dietary Fiber 7.7g,26,Trans Fat 0g,,Sugars 9.5g,7,Cholesterol 0mg,,Protein 17.5g,,Sodium 1245.1mg,54,Soybeans
Cilantro Jalapeno Hummus ,124,80,Total Fat 8.8g,23,Tot. Carb. 8.6g,,Sat. Fat 0.9g,5%,Dietary Fiber 1.9g,6,Trans Fat 0g,,Sugars 0.6g,0,Cholesterol 0mg,,Protein 3.7g,,Sodium 328.9mg,14,Sesame
Coconut Yogurt ,21,8,Total Fat 0.9g,2,Tot. Carb. 3.2g,,Sat. Fat 0.8g,4%,Dietary Fiber 0g,0,Trans Fat 0g,,Sugars 2.1g,2,Cholesterol 0mg,,Protein 0.1g,,Sodium 5.7mg,0,
Housemade Chamoy ,71,1,Total Fat 0.1g,0,Tot. Carb. 16.9g,,Sat. Fat 0g,0%,Dietary Fiber 1.2g,4,Trans Fat 0g,,Sugars 13.9g,11,Cholesterol 0mg,,Protein 0.5g,,Sodium 392.7mg,17,
Roasted Cashews ,163,119,Total Fat 13.1g,35,Tot. Carb. 9.3g,,Sat. Fat 2.6g,13%,Dietary Fiber 0.9g,3,Trans Fat 0g,,Sugars 1.4g,1,Cholesterol 0mg,,Protein 4.3g,,Sodium 4.5mg,0,Tree Nuts
Toasted Coconut ,129,72,Total Fat 7.9g,21,Tot. Carb. 14.7g,,Sat. Fat 7.5g,37%,Dietary Fiber 2.8g,9,Trans Fat 0g,,Sugars 10.4g,8,Cholesterol 0mg,,Protein 0.9g,,Sodium 80.8mg,4,
Vegan Green Goddess Dressing ,110,110,Total Fat 12.2g,32,Tot. Carb. 1.2g,,Sat. Fat 0.9g,5%,Dietary Fiber 0.5g,2,Trans Fat 0g,,Sugars 0.3g,0,Cholesterol 0mg,,Protein 0.3g,,Sodium 16.3mg,1,
